reason,source_manufacturer,source_film_name,source_box_count,target_manufacturer,target_film_name,target_film_key,affected_rows
"fingerprint_unique_match","Solyx","Solyx Silver Etch Stripe SX-2002","1","Solyx","Silver Etch Stripe SX-2002","SOLYX|SILVER ETCH STRIPE SX-2002","1"
"fingerprint_unique_match","Solyx","Solyx Static Cling Blackout Sand SXSC-318","1","Solyx","Static Cling Blackout Sand SXSC-318","SOLYX|STATIC CLING BLACKOUT SAND SXSC-318","1"
"fingerprint_unique_match","Solyx","Solyx Static Cling Mosaic Squares SX-SC513","1","Solyx","Static Cling Mosaic Squares SX-SC513","SOLYX|STATIC CLING MOSAIC SQUARES SX-SC513","1"
"fingerprint_unique_match","Solyx","Solyx SX 1","1","Solyx","SX 1","SOLYX|SX 1","1"
"fingerprint_unique_match","Solyx","Solyx SX-052","1","Solyx","SX-052","SOLYX|SX-052","1"
"fingerprint_unique_match","Solyx","Solyx SX-1516","1","Solyx","SX-1516","SOLYX|SX-1516","1"
"fingerprint_unique_match","Solyx","Solyx SX-5038","1","Solyx","SX-5038","SOLYX|SX-5038","1"
"fingerprint_unique_match","Solyx","SOLYX SX-C373 Acid Etch Stripes","1","Solyx","SX-C373 Acid Etch Stripes","SOLYX|SX-C373 ACID ETCH STRIPES","1"
"fingerprint_unique_match","Solyx","SOLYX SX-SC555 Titanium Sand 35.5""","1","Solyx","SX-SC555 Titanium Sand 35.5""","SOLYX|SX-SC555 TITANIUM SAND 35.5""","1"
"fingerprint_unique_match","Solyx","Solyx SX073 Dark Grey","1","Solyx","SX073 Dark Grey","SOLYX|SX073 DARK GREY","1"
"fingerprint_unique_match","Solyx","SOLYX SXJ-0547 FEATHER GRADIENT","1","Solyx","SXJ-0547 FEATHER GRADIENT","SOLYX|SXJ-0547 FEATHER GRADIENT","1"
"fingerprint_unique_match","Solyx","Solyx SXO-025 Brimestome Yellow","1","Solyx","SXO-025 Brimestome Yellow","SOLYX|SXO-025 BRIMESTOME YELLOW","1"
"fingerprint_unique_match","Solyx","Solyx SXO-034 Orange","1","Solyx","SXO-034 Orange","SOLYX|SXO-034 ORANGE","1"
"fingerprint_unique_match","Solyx","Solyx SXO-056 Ice Blue","1","Solyx","SXO-056 Ice Blue","SOLYX|SXO-056 ICE BLUE","1"
"fingerprint_unique_match","Solyx","Solyx SXO-068 Grass Green","1","Solyx","SXO-068 Grass Green","SOLYX|SXO-068 GRASS GREEN","1"
"fingerprint_unique_match","Solyx","Solyx SXP-020UV Amber","1","Solyx","SXP-020UV Amber","SOLYX|SXP-020UV AMBER","1"
"fingerprint_unique_match","Solyx","Solyx SXP-039 Raspberry Red","1","Solyx","SXP-039 Raspberry Red","SOLYX|SXP-039 RASPBERRY RED","1"
