"row_number","description","lot","box_id","id_token","width","raw_zeroed_date","original_known_date","inferred_zeroed_date","date_resolution_method"
"900","5357 - Solyx Etched Leise Stripes SXC374 60""","","IL-5357","5357","60","","","2026-01-14","back_fill_from_next"
"901","5133 - Madico Safetyshield 1500 72""","2.314630045E9","IL-5133","5133","72","","","2026-01-14","back_fill_from_next"
"902","5797 - Madico Safetyshield 1500 60""","2.334730337E9","IL-5797","5797","60","","","2026-01-14","back_fill_from_next"
"903","5824 - Madico Safetyshield 800 48""","2.334130254E9","IL-5824","5824","48","","","2026-01-14","back_fill_from_next"
"904","6003 - 3M Fasara Dusted Crystal 7725-314 60""","G2405401","IL-6003","6003","60","","","2026-01-14","back_fill_from_next"
"905","4066 - 3M ULTRA S800 60""","C238324388","IL-4066","4066","60","","","2026-01-14","back_fill_from_next"
"906","5989 - Avery E-lite 45 72""","R1921703","IL-5989","5989","72","","","2026-01-14","back_fill_from_next"
"907","4068 -  Madico SAFETYSHIELD 1500 CLEAR 15 MIL 72""","","IL-4068","4068","72","","","2026-01-14","back_fill_from_next"
"908","6058 - Madico Safetyshield 1500 60""","2.410830095E9","IL-6058","6058","60","","","2026-01-14","back_fill_from_next"
"909","6059 - Madico Safetyshield 1500 60""","2.410830091E9","IL-6059","6059","60","","","2026-01-14","back_fill_from_next"
"910","5006 - Madico Safetyshield 1500 72""","2.236234024E9","IL-5006","5006","72","","","2026-01-14","back_fill_from_next"
"911","5048 - Madico Safetyshield 1500 60""","2.311030565E9","IL-5048","5048","60","","","2026-01-14","back_fill_from_next"
"912","2271- Barcode 60""","5.0164636E7","IL-2271","2271","60","","","2026-01-14","back_fill_from_next"
"913","6022 - Madico Safetyshield 1500 72""","2.410630353E9","IL-6022","6022","72","","","2026-01-14","back_fill_from_next"
"914","3514 - SG Slate 20 48""","5.416613024E9","IL-3514","3514","48","","","2026-01-14","back_fill_from_next"
"915","5244 - 3M PR 20 EXT 72""","C290324421","IL-5244","5244","72","","","2026-01-14","back_fill_from_next"
"916","5894 - Madico Safetyshield 1500 60""","2.403830016E9","IL-5894","5894","60","","","2026-01-14","back_fill_from_next"
"917","5296 - 3M PR 20 EXT 60""","","IL-5296","5296","60","","","2026-01-14","back_fill_from_next"
"918","5297 - 3M PR 20 EXT 60""","","IL-5297","5297","60","64.0","","2026-01-14","back_fill_from_next"
"919","6030 - 3M PR 50 48""","D269324616","IL-6030","6030","48","","","2026-01-14","back_fill_from_next"
"920","4039 - Avery ELite 70 48""","2F3H1230A170505","IL-4039","4039","48","","","2026-01-14","back_fill_from_next"
"921","5136 - SG Truevue 05 60""","5.424951019E9","IL-5136","5136","60","","","2026-01-14","back_fill_from_next"
"922","5219 - Madico Safetyshield 800 60""","2.330630346E9","IL-5219","5219","60","","","2026-01-14","back_fill_from_next"
"923","5738 - Madico Safetyshield 800 60""","2.330630339E9","IL-5738","5738","60","","","2026-01-14","back_fill_from_next"
"924","6131 - Solyx Whiteout SXWFWO 60""","","IL-6131","6131","60","","","2026-01-14","back_fill_from_next"
"925","6135 - Solyx Whiteout SXWFWO 72""","","IL-6135","6135","72","","","2026-01-14","back_fill_from_next"
"926","6136 - Solyx Whiteout SXWFWO 72""","","IL-6136","6136","72","","","2026-01-14","back_fill_from_next"
"927","6137 - Solyx Whiteout SXWFWO 72""","","IL-6137","6137","72","","","2026-01-14","back_fill_from_next"
"928","6144 - 3M Fasara Glace SH2MAGL 50""","106813175B","IL-6144","6144","50","","","2026-01-14","back_fill_from_next"
"929","6145 - 3M Fasara Glace SH2MAGL 50""","106813175A","IL-6145","6145","50","","","2026-01-14","back_fill_from_next"
"930","5890 - 3M Scotchcal Duranodic 3630-69 48""","157010.0","IL-5890","5890","48","","","2026-01-14","back_fill_from_next"
"931","6051 - 3M PR 50 36""","D269324616","IL-6051","6051","36","","","2026-01-14","back_fill_from_next"
"932","6071 - Solyx White Dusted Matte SXJ-0550 60""","","IL-6071","6071","60","","","2026-01-14","back_fill_from_next"
"933","6073 - Solyx White Dusted Matte SXJ-0550 60""","","IL-6073","6073","60","","","2026-01-14","back_fill_from_next"
"934","5976 - 3M PR 70 48""","E033324699","IL-5976","5976","48","","","2026-01-14","back_fill_from_next"
"935","6080 - Madico 7 Mil EXT CL700E 60""","2.412730258E9","IL-6080","6080","60","","","2026-01-14","back_fill_from_next"
"936","6081 - Madico 7 Mil EXT CL700E 60""","2.412730416E9","IL-6081","6081","60","","","2026-01-14","back_fill_from_next"
"937","6083 - Madico 7 Mil EXT CL700E 60""","2.413730264E9","IL-6083","6083","60","","","2026-01-14","back_fill_from_next"
"938","6085 -  Madico 7 Mil EXT CL700E 60""","2.413730269E9","IL-6085","6085","60","","","2026-01-14","back_fill_from_next"
"939","6086 - Madico 7 Mil EXT CL700E 72""","2.413530288E9","IL-6086","6086","72","","","2026-01-14","back_fill_from_next"
"940","6087 - Madico 7 Mil EXT CL700E 72""","2.413530418E9","IL-6087","6087","72","","","2026-01-14","back_fill_from_next"
"941","5675 - 3M PR 70 60""","D081324485","IL-5675","5675","60","","","2026-01-14","back_fill_from_next"
"942","6000 - 3M PR 70 36""","D264324614","IL-6000","6000","36","","","2026-01-14","back_fill_from_next"
"943","4091 - 3M PR 70 72""","323506011C","IL-4091","4091","72","","","2026-01-14","back_fill_from_next"
"944","5124 - 3M PR 70 60""","D028324453","IL-5124","5124","60","","","2026-01-14","back_fill_from_next"
"945","5368 - SG Truevue 40 72""","5.423326053E9","IL-5368","5368","72","","","2026-01-14","back_fill_from_next"
"946","5893 - Madico Safetyshield 1500 60""","2.403830075E9","IL-5893","5893","60","","","2026-01-14","back_fill_from_next"
"947","5780 - 3M S140 SH14CLARL 60""","232J","IL-5780","5780","60","","","2026-01-14","back_fill_from_next"
"948","5994 - 3M S140 SH14CLARL 60""","232J","IL-5994","5994","60","","","2026-01-14","back_fill_from_next"
"949","5809 - Madico Safetyshield 800 48""","2.335530259E9","IL-5809","5809","48","","","2026-01-14","back_fill_from_next"
"950","5811 - Madico Safetyshield 800 48""","2.334130239E9","IL-5811","5811","48","","","2026-01-14","back_fill_from_next"
"951","6011 - Madico Safetyshield 800 72""","2.400230222E9","IL-6011","6011","72","","","2026-01-14","back_fill_from_next"
"952","6110 - 3M Fasara Glace SH2MAGL 50""","1.06089752E8","IL-6110","6110","50","","","2026-01-14","back_fill_from_next"
